"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202012111000","0.3","1","0"
"TT_TU_MN009","1443","202012111100","2","1","0"
"TT_TU_MN009","1443","202012111200","2.6","1","0"
"TT_TU_MN009","1443","202012111300","2.9","1","0"
"TT_TU_MN009","1443","202012111400","4.2","1","0"
"TT_TU_MN009","1443","202012111500","6.7","1","0"
"TT_TU_MN009","1443","202012111600","8.2","1","0"
"TT_TU_MN009","1443","202012111700","8","1","0"
"TT_TU_MN009","1443","202012111800","4.9","1","0"
"TT_TU_MN009","1443","202012111900","4.8","1","0"
"TT_TU_MN009","1443","202012112000","4.5","1","0"
"TT_TU_MN009","1443","202012112100","4.3","1","0"
"TT_TU_MN009","1443","202012112200","4.1","1","0"
"TT_TU_MN009","1443","202012112300","4.1","1","0"
"TT_TU_MN009","1443","202012120000","5.8","1","0"
"TT_TU_MN009","1443","202012120100","8.4","1","0"
"TT_TU_MN009","1443","202012120200","8.3","1","0"
"TT_TU_MN009","1443","202012120300","7.3","1","0"
"TT_TU_MN009","1443","202012120400","7","1","0"
"TT_TU_MN009","1443","202012120500","6.5","1","0"
"TT_TU_MN009","1443","202012120600","6.8","1","0"
"TT_TU_MN009","1443","202012120700","7.1","1","0"
"TT_TU_MN009","1443","202012120800","7.6","1","0"
"TT_TU_MN009","1443","202012120900","8","1","0"
"TT_TU_MN009","1443","202012121000","8.3","1","0"
"TT_TU_MN009","1443","202012121100","8.6","1","0"
"TT_TU_MN009","1443","202012121200","9.1","1","0"
"TT_TU_MN009","1443","202012121300","8.9","1","0"
"TT_TU_MN009","1443","202012121400","8.8","1","0"
"TT_TU_MN009","1443","202012121500","8.6","1","0"
"TT_TU_MN009","1443","202012121600","8.3","1","0"
"TT_TU_MN009","1443","202012121700","7.9","1","0"
"TT_TU_MN009","1443","202012121800","7.8","1","0"
"TT_TU_MN009","1443","202012121900","8","1","0"
"TT_TU_MN009","1443","202012122000","7.9","1","0"
"TT_TU_MN009","1443","202012122100","7.9","1","0"
"TT_TU_MN009","1443","202012122200","8","1","0"
"TT_TU_MN009","1443","202012122300","7.8","1","0"
"TT_TU_MN009","1443","202012130000","7.5","1","0"
"TT_TU_MN009","1443","202012130100","7.6","1","0"
"TT_TU_MN009","1443","202012130200","7.4","1","0"
"TT_TU_MN009","1443","202012130300","7.3","1","0"
"TT_TU_MN009","1443","202012130400","7.2","1","0"
"TT_TU_MN009","1443","202012130500","7.4","1","0"
"TT_TU_MN009","1443","202012130600","7","1","0"
"TT_TU_MN009","1443","202012130700","6.8","1","0"
"TT_TU_MN009","1443","202012130800","6.4","1","0"
"TT_TU_MN009","1443","202012130900","6.4","1","0"
"TT_TU_MN009","1443","202012131000","6.2","1","0"
"TT_TU_MN009","1443","202012131100","6.5","1","0"
"TT_TU_MN009","1443","202012131200","7.9","1","0"
"TT_TU_MN009","1443","202012131300","7.9","1","0"
"TT_TU_MN009","1443","202012131400","7.4","1","0"
"TT_TU_MN009","1443","202012131500","7.3","1","0"
"TT_TU_MN009","1443","202012131600","6","1","0"
"TT_TU_MN009","1443","202012131700","5.9","1","0"
"TT_TU_MN009","1443","202012131800","6","1","0"
"TT_TU_MN009","1443","202012131900","5.6","1","0"
"TT_TU_MN009","1443","202012132000","3.8","1","0"
"TT_TU_MN009","1443","202012132100","4.3","1","0"
"TT_TU_MN009","1443","202012132200","4","1","0"
"TT_TU_MN009","1443","202012132300","2.1","1","0"
"TT_TU_MN009","1443","202012140000","1.7","1","0"
